name,obs_mean,obs_std,obs_min,obs_max,obs_stat_min,obs_stat_max,sim_mean,sim_std,sim_min,sim_max,sim_stat_min,sim_stat_max,distance
HDS_USECOL:P-E3-S6_1_TIME:21168001.0,681.423,0.512364,680.197,682.827,681.935,680.91,754.109,41.4383,684.55,897.47,795.548,712.671,1.72267
HDS_USECOL:P-E3-S6_1_TIME:21254401.0,681.367,0.529946,680.22,682.749,681.897,680.837,754.107,41.4374,684.55,897.46,795.545,712.67,1.80148
HDS_USECOL:P-E3-S6_1_TIME:21340801.0,681.24,0.452828,680.409,682.378,681.693,680.787,754.105,41.4364,684.54,897.46,795.542,712.669,2.1621
HDS_USECOL:P-E3-S6_1_TIME:21427201.0,681.317,0.436306,680.267,682.405,681.753,680.881,754.104,41.4355,684.54,897.45,795.539,712.668,2.13535
HDS_USECOL:P-E3-S6_1_TIME:21513601.0,681.239,0.412733,680.265,682.402,681.652,680.826,754.101,41.4339,684.54,897.44,795.535,712.667,2.13788
HDS_USECOL:P-E3-S6_1_TIME:21600001.0,681.255,0.472694,680.208,682.789,681.727,680.782,754.099,41.4328,684.54,897.43,795.532,712.666,1.75095
HDS_USECOL:P-E3-S6_1_TIME:21686401.0,681.257,0.464353,680.167,682.476,681.721,680.793,754.097,41.4325,684.54,897.43,795.53,712.665,2.06392
HDS_USECOL:P-E3-S6_1_TIME:21772801.0,681.288,0.543549,680.106,682.639,681.831,680.744,754.095,41.4306,684.54,897.42,795.525,712.664,1.90072
HDS_USECOL:P-E3-S6_1_TIME:21859201.0,681.282,0.420424,680.122,682.339,681.702,680.861,754.093,41.4293,684.54,897.41,795.522,712.664,2.20077
HDS_USECOL:P-E3-S6_1_TIME:21945601.0,681.228,0.470597,680.13,682.286,681.699,680.757,754.091,41.4284,684.54,897.41,795.52,712.663,2.2543
HDS_USECOL:P-E3-S6_1_TIME:22032001.0,681.33,0.50342,680.277,682.624,681.834,680.827,754.089,41.4272,684.54,897.4,795.516,712.662,1.9162
HDS_USECOL:P-E3-S6_1_TIME:22118401.0,681.334,0.469102,680.105,682.669,681.803,680.865,754.087,41.4262,684.54,897.39,795.513,712.661,1.87092
HDS_USECOL:P-E3-S6_1_TIME:22204801.0,681.332,0.510587,679.835,682.604,681.843,680.821,754.085,41.4248,684.54,897.38,795.51,712.66,1.93559
HDS_USECOL:P-E3-S6_1_TIME:22291201.0,681.263,0.471712,680.414,682.715,681.734,680.791,754.083,41.4236,684.54,897.38,795.506,712.659,1.82456
HDS_USECOL:P-E3-S6_1_TIME:22377601.0,681.327,0.472241,680.101,682.369,681.799,680.855,754.081,41.4224,684.54,897.37,795.504,712.659,2.17064
HDS_USECOL:P-E3-S6_1_TIME:22464001.0,681.318,0.422532,680.407,682.464,681.741,680.896,754.078,41.4216,684.54,897.36,795.5,712.657,2.07617
HDS_USECOL:P-E3-S6_1_TIME:22550401.0,681.317,0.459279,680.151,682.641,681.776,680.858,754.076,41.42,684.54,897.35,795.496,712.656,1.89917
HDS_USECOL:P-E3-S6_1_TIME:22636801.0,681.4,0.489798,680.367,682.751,681.89,680.911,754.074,41.4195,684.54,897.35,795.494,712.655,1.78923
HDS_USECOL:P-E3-S6_1_TIME:22723201.0,681.382,0.608468,679.581,682.668,681.991,680.774,754.072,41.4179,684.53,897.34,795.49,712.654,1.86217
HDS_USECOL:P-E3-S6_1_TIME:22809601.0,681.298,0.489146,679.887,682.313,681.788,680.809,754.07,41.4169,684.53,897.33,795.487,712.653,2.21721
HDS_USECOL:P-E3-S6_1_TIME:22896001.0,681.382,0.4745,680.387,682.617,681.857,680.908,754.068,41.4158,684.53,897.32,795.484,712.653,1.91346
HDS_USECOL:P-E3-S6_1_TIME:22982401.0,681.525,0.514458,680.274,683.004,682.039,681.01,754.066,41.4143,684.53,897.32,795.48,712.652,1.52561
HDS_USECOL:P-E3-S6_1_TIME:23068801.0,681.421,0.553726,679.848,682.86,681.974,680.867,754.064,41.413,684.53,897.31,795.477,712.651,1.66957
HDS_USECOL:P-E3-S6_1_TIME:23155201.0,681.419,0.462788,680.409,682.507,681.882,680.956,754.062,41.4117,684.53,897.3,795.474,712.65,2.02282
HDS_USECOL:P-E3-S6_1_TIME:23241601.0,681.299,0.434957,680.401,682.625,681.734,680.864,754.06,41.4104,684.53,897.29,795.47,712.649,1.90479
HDS_USECOL:P-E3-S6_1_TIME:23328001.0,681.328,0.505248,680.284,682.527,681.834,680.823,754.057,41.4095,684.53,897.29,795.467,712.648,2.00304
HDS_USECOL:P-E3-S6_1_TIME:23414401.0,681.351,0.478313,680.315,682.366,681.829,680.872,754.055,41.4082,684.53,897.28,795.463,712.647,2.16356
HDS_USECOL:P-E3-S6_1_TIME:23500801.0,681.399,0.448887,680.4,682.486,681.848,680.95,754.053,41.4076,684.53,897.27,795.461,712.646,2.04416
HDS_USECOL:P-E3-S6_1_TIME:23587201.0,681.407,0.55423,679.738,682.677,681.962,680.853,754.051,41.4061,684.53,897.26,795.457,712.645,1.85282
HDS_USECOL:P-E3-S6_1_TIME:23673601.0,681.34,0.423962,680.534,682.829,681.764,680.916,754.049,41.4051,684.53,897.26,795.454,712.644,1.70062
HDS_USECOL:P-E3-S6_1_TIME:23760001.0,681.449,0.409725,680.587,682.296,681.858,681.039,754.046,41.4041,684.53,897.25,795.45,712.642,2.23411
