name,value,group,weight
flow_gal_usecol:gal-flow_time:109555201.0,-0.0019962,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:109641601.0,-0.0019809,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:109728001.0,-0.0019658,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:10972801.0,0,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:109814401.0,-0.0019512,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:109900801.0,-0.0019368,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:109987201.0,-0.0019228,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:110073601.0,-0.0019091,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:110160001.0,-0.0018958,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:110246401.0,-0.0018827,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:110332801.0,-0.0018699,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:110419201.0,-0.0018574,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:110505601.0,-0.0018451,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:110592001.0,-0.0018332,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:11059201.0,0,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:110678401.0,-0.0018215,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:110764801.0,-0.00181,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:110851201.0,-0.0017988,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:110937601.0,-0.0076063,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:111024001.0,-0.0073515,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:111110401.0,-0.0071073,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:111196801.0,-0.0068735,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:111283201.0,-0.0066496,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:111369601.0,-0.0064351,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:111456001.0,-0.0062297,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:11145601.0,0,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:111542401.0,-0.006033,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:111628801.0,-0.0058446,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:111715201.0,-0.0056642,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:111801601.0,-0.0054913,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:111888001.0,-0.0053258,flow_gal_usecol:gal-flow,0
flow_gal_usecol:gal-flow_time:111974401.0,-0.0051672,flow_gal_usecol:gal-flow,0
