iteration,total_runs,obs_realization,par_realization,flow_gal_usecol:gal-flow,flow_gal_w_usecol:gal_w-flow,hds_usecol:p-e3-s6_1,hds_usecol:p-e3-s6_2,hds_usecol:p-e3-s6_3,hds_usecol:p-e3-s6_4,hds_usecol:p-e3-s6_5,hds_usecol:p-gal-s1,hds_usecol:p-gal-s2,hds_usecol:p-gal-s3,hds_usecol:p-gal-s4,hds_usecol:p-gal-s5,hds_usecol:p-gal-s6a,hds_usecol:p-lz-4,hds_usecol:p-m-6,hds_usecol:p-ms-1,hds_usecol:p-ms-2,hds_usecol:p-rn-s7_1,hds_usecol:p-rn-s7_2,hds_usecol:p-rn-s7_3,hds_usecol:p-rn-s7_4,hds_usecol:p-vr-1,hds_usecol:p-vr-s_1,hds_usecol:p-vr-s_2,hds_usecol:p-vr-s_3
0,50,14,14,0,0,7.79076e+07,4.65824e+06,3.36787e+06,1.80782e+06,2.16418e+06,9.0463e+06,258819,1.26318e+07,655487,4.05984e+06,130816,88866.1,75135.8,3237.13,5497.25,1.33031e+07,3.60537e+07,1.42865e+07,8857.59,121539,6.99677e+06,303787,292309
0,50,15,15,0,0,3.31142e+07,4.47808e+06,3.51017e+06,1.91632e+06,1.60454e+06,9.59436e+06,272477,6.83214e+06,379697,7.84401e+06,2419.17,2260.62,92615.3,154504,23859.1,6.55929e+06,1.43148e+07,8.56469e+06,6346.77,79068.5,1.04297e+07,331156,292309
0,50,16,16,0,0,1.30167e+08,4.53958e+06,3.52275e+06,1.94287e+06,1.27659e+06,5.66133e+06,158199,1.21905e+07,977847,1.90921e+07,478082,209925,294337,326652,28016,2.14679e+07,6.433e+07,2.39233e+07,2.92314e+06,357587,3.33435e+07,233740,292309
0,50,17,17,0,0,5.06952e+07,1.19937e+07,8.88177e+06,6.77758e+06,3.20054e+06,4.32267e+07,484754,1.95434e+07,694363,8.532e+06,137964,138711,145996,12837.1,3642.6,1.24753e+07,3.32782e+07,1.6816e+07,953330,999056,2.16742e+07,604117,292309
0,50,20,20,0,0,7.71595e+07,8.67405e+06,6.92587e+06,4.92635e+06,3.15118e+06,2.82957e+07,581395,1.42115e+07,679743,1.27106e+07,260544,277753,85277.5,238571,15375.3,1.45821e+07,4.03828e+07,1.88442e+07,2.89487e+06,1.55194e+06,2.16031e+07,8544.06,292309
0,50,21,21,0,0,1.79339e+08,1.61913e+07,1.2177e+07,1.01038e+07,3.1917e+06,3.29424e+07,534351,1.74658e+07,729019,1.53217e+07,470164,344308,96874.8,331527,28016,2.91729e+07,9.19786e+07,2.54427e+07,3.03852e+06,2.07183e+06,2.09145e+07,53105.3,292309
0,50,22,22,0,0,1.70723e+08,1.34783e+07,1.03213e+07,8.25021e+06,1.34681e+06,4.30835e+07,1.10669e+06,4.64581e+07,2.453e+06,5.54499e+07,1.00989e+06,943982,180559,1.01779e+06,28016,3.0919e+07,9.83321e+07,3.75421e+07,6.67771e+06,296884,2.92147e+07,28578.2,292309
0,50,24,24,0,0,7.39362e+07,9.77298e+06,8.02206e+06,5.95837e+06,3.05513e+06,1.10527e+07,221834,6.39006e+06,544940,1.06158e+07,302704,216722,105579,170367,28016,8.20016e+06,1.93773e+07,1.65639e+07,2.1232e+06,157469,9.56306e+06,212042,292309
0,50,25,25,0,0,1.53723e+08,8.80709e+06,6.35247e+06,4.41325e+06,2.22463e+06,2.76384e+07,674440,1.9387e+07,1.1769e+06,2.38923e+07,301330,60301.8,130051,312626,28016,1.64853e+07,4.69042e+07,2.11531e+07,3.39587e+06,82695.5,1.57364e+07,689.184,292309
0,50,26,26,0,0,9.24792e+07,3.59882e+07,1.83689e+07,1.64954e+07,1.64752e+06,6.55433e+07,1.76357e+06,4.19423e+07,2.14599e+06,2.31683e+07,418202,726028,324701,276705,28016,1.18754e+07,3.12809e+07,2.01663e+07,1.36747e+06,1.65415e+06,3.9267e+07,4766.07,292309
0,50,27,27,0,0,3.71543e+08,9.13186e+06,5.58509e+06,3.75134e+06,1.07002e+06,1.47057e+07,357595,2.24103e+07,1.76807e+06,1.89471e+07,555673,202841,249226,163962,28016,2.77531e+07,8.68338e+07,2.5131e+07,1.9732e+06,1.52003e+06,3.08031e+07,101314,292309
0,50,28,28,0,0,6.8288e+07,4.75611e+06,3.98591e+06,2.30242e+06,2.7268e+06,8.32291e+06,244523,1.16921e+07,885670,1.59271e+07,168047,115183,157982,12973,1053.51,1.42395e+07,3.92189e+07,1.74684e+07,1.07391e+06,540180,2.24943e+07,3941.36,292309
0,50,31,31,0,0,4.28829e+07,8.28462e+06,4.11314e+06,2.4084e+06,587566,1.5962e+07,508359,1.06253e+07,440097,6.56807e+06,88319,185174,209542,3955.68,10600.9,5.00854e+06,9.75177e+06,1.10108e+07,127409,194472,7.73458e+06,367892,292309
0,50,32,32,0,0,4.27156e+08,1.4738e+07,8.80619e+06,6.78055e+06,2.35532e+06,7.51339e+07,2.41256e+06,9.32889e+07,5.75776e+06,7.51742e+07,1.98299e+06,457924,107059,3.62544e+06,28158.5,5.2615e+07,1.78976e+08,4.14358e+07,1.01848e+07,1.18273e+06,5.93315e+07,3.22243e+06,292309
0,50,33,33,0,0,9.73547e+07,8.78337e+06,6.45379e+06,4.50579e+06,1.90922e+06,1.62287e+07,366622,1.75427e+07,876443,1.34882e+07,213615,211779,150084,219714,15663.8,1.3481e+07,3.66533e+07,1.95651e+07,2.53002e+06,726403,2.79185e+07,564102,292309
0,50,34,34,0,0,5.79928e+07,4.49946e+06,3.66369e+06,2.03367e+06,1.03329e+06,1.9198e+07,573795,1.26338e+07,624060,1.49396e+07,264643,233010,136029,134409,3034.44,1.16397e+07,3.05001e+07,1.95757e+07,1.66479e+06,73819.7,7.3548e+06,612113,312880
0,50,35,35,0,0,9.08981e+07,1.75925e+07,8.88272e+06,6.81175e+06,3.03769e+06,3.13413e+07,1.0211e+06,2.26154e+07,1.53994e+06,1.90479e+07,457903,307572,233026,396415,28016,1.70465e+07,4.88433e+07,2.45188e+07,3.20719e+06,1.87766e+06,2.08657e+07,14661.4,292309
0,50,36,36,0,0,7.17354e+07,3.73528e+06,1.98933e+06,775828,502422,5.46915e+06,205883,1.18604e+07,589921,3.9953e+06,90411.5,133386,130132,158274,22064,9.61891e+06,2.38953e+07,1.1872e+07,36431,215158,1.88403e+07,94549.8,292309
0,50,37,37,0,0,4.61918e+07,1.96881e+07,1.19579e+07,9.81378e+06,1.99857e+06,3.30096e+07,830364,2.11699e+07,1.21355e+06,2.27795e+07,244219,668191,99889.1,187321,1774.75,9.32878e+06,2.29624e+07,1.86713e+07,1.64025e+06,1.77925e+06,2.071e+07,70752.6,292309
0,50,38,38,0,0,1.36215e+08,6.48084e+06,4.00154e+06,2.32926e+06,3.08951e+06,1.07105e+07,426726,8.03588e+06,682319,1.99463e+07,355139,404308,169986,340305,28016,1.45636e+07,4.03199e+07,1.97016e+07,2.76121e+06,867564,4.91359e+07,1.51975e+06,292309
0,50,39,39,0,0,2.32148e+08,1.97069e+07,1.55761e+07,1.35776e+07,3.5851e+06,7.21997e+07,1.50306e+06,7.76012e+07,2.66196e+06,4.91324e+07,2.44824e+06,292550,147759,1.18129e+07,28158.5,2.72107e+07,8.48745e+07,4.7861e+07,1.02668e+07,3.74771e+06,1.34356e+08,1.76537e+06,292309
0,50,40,40,0,0,1.18941e+08,7.74435e+06,6.14277e+06,4.22628e+06,3.1604e+06,1.02682e+07,240093,7.84485e+06,633090,1.3759e+07,383390,238617,129828,391234,28016,1.52676e+07,4.27217e+07,2.04425e+07,1.17422e+06,428629,2.81075e+07,47495.4,292309
0,50,41,41,0,0,1.88235e+08,4.95375e+06,3.88037e+06,2.24111e+06,1.39329e+06,2.28765e+07,946229,2.77846e+07,1.86377e+06,3.7923e+07,287226,302469,95810.1,225179,28016,1.37331e+07,3.75041e+07,2.0944e+07,4.33372e+06,127975,2.72713e+07,42586.9,292309
0,50,42,42,0,0,2.06529e+08,5.88774e+06,3.48053e+06,1.91757e+06,2.99951e+06,9.9831e+06,362696,8.11265e+06,626280,1.76693e+07,516149,98946.2,174183,365863,28016,1.88836e+07,5.52354e+07,2.69129e+07,4.28059e+06,667560,2.26415e+07,291573,292309
0,50,43,43,0,0,2.81853e+08,4.6882e+06,3.06903e+06,1.57027e+06,1.06711e+06,7.47712e+06,337553,8.15957e+06,558112,1.30389e+07,403460,219013,179991,737418,28016,1.72499e+07,4.95476e+07,2.53826e+07,3.37506e+06,863337,2.16092e+07,135917,292309
0,50,46,46,0,0,6.94214e+08,8.93658e+07,3.26043e+07,3.2046e+07,3.57195e+06,1.07935e+08,4.10566e+06,9.34717e+07,6.27893e+06,1.02595e+08,3.60026e+06,1.5349e+06,241259,3.92347e+06,28158.5,4.35704e+07,1.45042e+08,6.97475e+07,1.2831e+07,840513,6.66722e+07,528483,292309
0,50,47,47,0,0,1.43677e+08,2.25976e+07,1.78435e+07,1.60343e+07,3.17968e+06,5.05842e+07,1.11143e+06,4.51124e+07,1.61494e+06,1.92036e+07,350979,424752,168257,312425,28016,1.49816e+07,4.17443e+07,2.35248e+07,1.77594e+06,555477,3.3814e+07,3951.75,292309
0,50,48,48,0,0,7.62168e+07,5.50612e+06,3.38205e+06,1.82433e+06,491001,1.56576e+07,514079,2.99353e+07,1.84021e+06,2.53711e+07,565782,72799,120082,396895,28016,1.45406e+07,4.0242e+07,2.18542e+07,3.05746e+06,219508,1.56237e+07,184715,292309
0,50,base,base,0,0,8.43487e+07,7.27102e+06,5.44811e+06,3.58078e+06,2.24174e+06,1.3461e+07,357895,9.38617e+06,546466,1.08537e+07,188517,187791,147793,57916.3,15768.8,1.29457e+07,3.48527e+07,1.6907e+07,936839,430769,1.51829e+07,56399.7,292309
1,86,1,1,0,0,4.09403e+07,9.87135e+06,8.15011e+06,6.05382e+06,2.3674e+06,1.61378e+07,315555,9.09909e+06,386705,9.03853e+06,38390.5,233987,104955,16476.3,54207.1,7.23114e+06,1.63631e+07,1.1165e+07,560362,118905,1.28306e+07,246083,292309
1,86,2,2,0,0,3.51447e+07,5.87258e+06,4.09219e+06,2.39331e+06,1.84722e+06,1.55033e+07,429016,1.20966e+07,458339,9.9794e+06,113862,56810.9,139526,60411.2,48959.9,7.67206e+06,1.77265e+07,1.18573e+07,145955,119875,1.72971e+07,6805.17,292309
1,86,3,3,0,0,6.68082e+07,8.57134e+06,6.1901e+06,4.24672e+06,2.30619e+06,7.05737e+06,170150,1.28916e+06,135722,5.20978e+06,173002,378308,187882,119995,14424.8,1.22017e+07,3.23656e+07,1.718e+07,1.00758e+06,259241,1.18941e+07,90009.5,292309
1,86,4,4,0,0,2.66943e+08,1.16569e+07,9.20805e+06,7.09874e+06,3.25611e+06,2.22886e+07,384701,1.13647e+07,544670,9.75303e+06,673114,271851,173592,350236,28016,1.93997e+07,5.70425e+07,2.50633e+07,1.9081e+06,2.62377e+06,3.36161e+07,43169.3,292309
1,86,5,5,0,0,5.28438e+07,3.27994e+06,2.59306e+06,1.20203e+06,497227,1.05376e+07,355207,1.12127e+07,593184,1.06475e+07,146257,88521.5,175253,121334,28016,1.00355e+07,2.52422e+07,1.54969e+07,430467,270950,1.39495e+07,17989.5,292309
1,86,6,6,0,0,5.88066e+07,8.8811e+06,6.36015e+06,4.41312e+06,2.39802e+06,1.58105e+07,459335,2.23991e+07,1.46108e+06,1.37519e+07,383700,319369,157381,287894,28016,8.28457e+06,1.96428e+07,2.31881e+07,2.9434e+06,133466,1.02516e+07,349849,346220
1,86,7,7,0,0,7.09682e+07,5.6014e+06,4.20174e+06,2.49448e+06,716733,1.01925e+07,251495,1.00875e+07,727768,1.10963e+07,290990,155191,165411,75602.3,15663.8,1.26447e+07,3.38442e+07,1.79479e+07,817183,106787,2.39864e+07,368263,425646
1,86,9,9,0,0,5.63905e+07,5.91959e+06,4.67944e+06,2.91556e+06,1.84576e+06,1.17418e+07,278776,6.16015e+06,335545,5.5909e+06,61844.3,71714.1,219101,4948.65,1021.23,6.77476e+06,1.49677e+07,1.25142e+07,139229,237356,1.20036e+07,80633.7,292309
1,86,12,12,0,0,2.24797e+08,1.44672e+07,1.09317e+07,8.78091e+06,3.05066e+06,4.85732e+07,836754,3.89302e+07,2.67724e+06,4.47869e+07,885359,311103,232202,972048,28016,2.73537e+07,8.53902e+07,3.4664e+07,6.77671e+06,831577,6.7627e+07,1.3175e+06,292309
1,86,13,13,0,0,6.83692e+07,1.35494e+06,980705,194526,471505,1.90676e+06,113059,2.7599e+06,169785,3.82467e+06,106071,216723,163960,63152.7,32684.1,1.25727e+07,3.36036e+07,1.25325e+07,934135,78577.8,9.2746e+06,247899,292309
1,86,14,14,0,0,7.79076e+07,4.65824e+06,3.36787e+06,1.80782e+06,2.16418e+06,9.0463e+06,258819,1.26318e+07,655487,4.05984e+06,130816,88866.1,75135.8,3237.13,5497.25,1.33031e+07,3.60537e+07,1.42865e+07,8857.59,121539,6.99677e+06,303787,292309
1,86,15,15,0,0,3.31142e+07,4.47808e+06,3.51017e+06,1.91632e+06,1.60454e+06,9.59436e+06,272477,6.83214e+06,379697,7.84401e+06,2419.17,2260.62,92615.3,154504,23859.1,6.55929e+06,1.43148e+07,8.56469e+06,6346.77,79068.5,1.04297e+07,331156,292309
1,86,16,16,0,0,1.30167e+08,4.53958e+06,3.52275e+06,1.94287e+06,1.27659e+06,5.66133e+06,158199,1.21905e+07,977847,1.90921e+07,478082,209925,294337,326652,28016,2.14679e+07,6.433e+07,2.39233e+07,2.92314e+06,357587,3.33435e+07,233740,292309
1,86,17,17,0,0,5.06952e+07,1.19937e+07,8.88177e+06,6.77758e+06,3.20054e+06,4.32267e+07,484754,1.95434e+07,694363,8.532e+06,137964,138711,145996,12837.1,3642.6,1.24753e+07,3.32782e+07,1.6816e+07,953330,999056,2.16742e+07,604117,292309
1,86,20,20,0,0,7.71595e+07,8.67405e+06,6.92587e+06,4.92635e+06,3.15118e+06,2.82957e+07,581395,1.42115e+07,679743,1.27106e+07,260544,277753,85277.5,238571,15375.3,1.45821e+07,4.03828e+07,1.88442e+07,2.89487e+06,1.55194e+06,2.16031e+07,8544.06,292309
1,86,21,21,0,0,1.79339e+08,1.61913e+07,1.2177e+07,1.01038e+07,3.1917e+06,3.29424e+07,534351,1.74658e+07,729019,1.53217e+07,470164,344308,96874.8,331527,28016,2.91729e+07,9.19786e+07,2.54427e+07,3.03852e+06,2.07183e+06,2.09145e+07,53105.3,292309
1,86,22,22,0,0,1.70723e+08,1.34783e+07,1.03213e+07,8.25021e+06,1.34681e+06,4.30835e+07,1.10669e+06,4.64581e+07,2.453e+06,5.54499e+07,1.00989e+06,943982,180559,1.01779e+06,28016,3.0919e+07,9.83321e+07,3.75421e+07,6.67771e+06,296884,2.92147e+07,28578.2,292309
1,86,24,24,0,0,7.39362e+07,9.77298e+06,8.02206e+06,5.95837e+06,3.05513e+06,1.10527e+07,221834,6.39006e+06,544940,1.06158e+07,302704,216722,105579,170367,28016,8.20016e+06,1.93773e+07,1.65639e+07,2.1232e+06,157469,9.56306e+06,212042,292309
1,86,25,25,0,0,1.53723e+08,8.80709e+06,6.35247e+06,4.41325e+06,2.22463e+06,2.76384e+07,674440,1.9387e+07,1.1769e+06,2.38923e+07,301330,60301.8,130051,312626,28016,1.64853e+07,4.69042e+07,2.11531e+07,3.39587e+06,82695.5,1.57364e+07,689.184,292309
1,86,26,26,0,0,9.24792e+07,3.59882e+07,1.83689e+07,1.64954e+07,1.64752e+06,6.55433e+07,1.76357e+06,4.19423e+07,2.14599e+06,2.31683e+07,418202,726028,324701,276705,28016,1.18754e+07,3.12809e+07,2.01663e+07,1.36747e+06,1.65415e+06,3.9267e+07,4766.07,292309
1,86,27,27,0,0,3.71543e+08,9.13186e+06,5.58509e+06,3.75134e+06,1.07002e+06,1.47057e+07,357595,2.24103e+07,1.76807e+06,1.89471e+07,555673,202841,249226,163962,28016,2.77531e+07,8.68338e+07,2.5131e+07,1.9732e+06,1.52003e+06,3.08031e+07,101314,292309
1,86,28,28,0,0,6.8288e+07,4.75611e+06,3.98591e+06,2.30242e+06,2.7268e+06,8.32291e+06,244523,1.16921e+07,885670,1.59271e+07,168047,115183,157982,12973,1053.51,1.42395e+07,3.92189e+07,1.74684e+07,1.07391e+06,540180,2.24943e+07,3941.36,292309
1,86,31,31,0,0,4.28829e+07,8.28462e+06,4.11314e+06,2.4084e+06,587566,1.5962e+07,508359,1.06253e+07,440097,6.56807e+06,88319,185174,209542,3955.68,10600.9,5.00854e+06,9.75177e+06,1.10108e+07,127409,194472,7.73458e+06,367892,292309
