time,GAL-FLOW
52963201.00000,.3000000000000000E+31
53049601.00000,.3000000000000000E+31
53136001.00000,.3000000000000000E+31
53222401.00000,.3000000000000000E+31
53308801.00000,.3000000000000000E+31
53395201.00000,.3000000000000000E+31
53481601.00000,.3000000000000000E+31
53568001.00000,.3000000000000000E+31
53654401.00000,.3000000000000000E+31
53740801.00000,.3000000000000000E+31
53827201.00000,.3000000000000000E+31
53913601.00000,.3000000000000000E+31
54000001.00000,.3000000000000000E+31
54086401.00000,.3000000000000000E+31
54172801.00000,.3000000000000000E+31
54259201.00000,.3000000000000000E+31
54345601.00000,.3000000000000000E+31
54432001.00000,.3000000000000000E+31
54518401.00000,.3000000000000000E+31
54604801.00000,.3000000000000000E+31
54691201.00000,.3000000000000000E+31
54777601.00000,.3000000000000000E+31
54864001.00000,.3000000000000000E+31
54950401.00000,.3000000000000000E+31
55036801.00000,.3000000000000000E+31
55123201.00000,.3000000000000000E+31
55209601.00000,.3000000000000000E+31
55296001.00000,.3000000000000000E+31
55382401.00000,.3000000000000000E+31
55468801.00000,.3000000000000000E+31
55555201.00000,.3000000000000000E+31
55641601.00000,.3000000000000000E+31
55728001.00000,.3000000000000000E+31
55814401.00000,.3000000000000000E+31
55900801.00000,.3000000000000000E+31
55987201.00000,.3000000000000000E+31
56073601.00000,.3000000000000000E+31
56160001.00000,.3000000000000000E+31
56246401.00000,.3000000000000000E+31
56332801.00000,.3000000000000000E+31
56419201.00000,.3000000000000000E+31
56505601.00000,.3000000000000000E+31
56592001.00000,.3000000000000000E+31
56678401.00000,.3000000000000000E+31
56764801.00000,.3000000000000000E+31
56851201.00000,.3000000000000000E+31
56937601.00000,.3000000000000000E+31
57024001.00000,.3000000000000000E+31
57110401.00000,.3000000000000000E+31
57196801.00000,.3000000000000000E+31
57283201.00000,.3000000000000000E+31
57369601.00000,.3000000000000000E+31
57456001.00000,.3000000000000000E+31
57542401.00000,.3000000000000000E+31
57628801.00000,.3000000000000000E+31
57715201.00000,.3000000000000000E+31
57801601.00000,.3000000000000000E+31
57888001.00000,.3000000000000000E+31
57974401.00000,.3000000000000000E+31
58060801.00000,.3000000000000000E+31
58147201.00000,.3000000000000000E+31
58233601.00000,.3000000000000000E+31
58320001.00000,.3000000000000000E+31
58406401.00000,.3000000000000000E+31
58492801.00000,.3000000000000000E+31
58579201.00000,.3000000000000000E+31
58665601.00000,.3000000000000000E+31
58752001.00000,.3000000000000000E+31
58838401.00000,.3000000000000000E+31
58924801.00000,.3000000000000000E+31
59011201.00000,.3000000000000000E+31
59097601.00000,.3000000000000000E+31
59184001.00000,.3000000000000000E+31
